X,Y,annualmean,annualvariance,annualstddev,directionannualmean,objectid
-10749008.8515,3068606.2958,0.17488173,0.01109154,0.10531636,50.08509231,145718
-10749008.8515,3078566.0544,0.17791156,0.01098709,0.10481931,39.01747483,145719
-10749008.8515,3088532.7915,0.17897658,0.01114256,0.10555832,27.50599206,145720
-10749008.8515,3098506.5361,0.17795573,0.01133038,0.10644428,17.30332249,145721
-10749008.8514,3108487.3178,0.17668615,0.01130774,0.10633785,11.62268421,145722
-10749008.8515,3118475.1659,0.17562313,0.01117358,0.10570517,10.09141575,145723
-10749008.8515,3128470.11,0.1749108,0.01099285,0.10484681,10.95797094,145724
-10749008.8515,3138472.1795,0.17420633,0.01091003,0.10445108,12.76053791,145725
-10749008.8515,3148481.4044,0.17253408,0.01086911,0.10425504,15.25989526,145726
-10749008.8515,3158497.8142,0.17046297,0.01068289,0.10335807,18.99088993,145727
-10749008.8516,3168521.439,0.16836552,0.01048505,0.10239656,23.08255852,145728
-10749008.8515,3178552.3086,0.16644442,0.01049507,0.10244547,25.74265187,145729
-10749008.8515,3188590.453,0.16211723,0.01044352,0.10219355,30.41163874,145730
-10749008.8515,3198635.9028,0.16061507,0.01075753,0.1037185,56.35731214,145731
-10749008.8515,3208688.6878,0.16441086,0.01244617,0.1115624,195.81682065,145732
-10749008.8515,3218748.8385,0.16617146,0.01358376,0.1165494,207.44733774,145733
-10749008.8516,3228816.3853,0.16947559,0.01408284,0.11867115,214.03718175,145734
-10749008.8515,3238891.3588,0.17187287,0.01415367,0.11896922,227.57194816,145735
-10749008.8515,3248973.7895,0.16963373,0.01388728,0.11784428,233.63409612,145736
-10749008.8515,3259063.7085,0.16683435,0.01366488,0.11689688,236.23992208,145737
-10749008.8515,3269161.1462,0.14423546,0.01074828,0.10367391,245.42237191,145738
-10749008.8515,3279266.1338,0.07990374,0.00376424,0.06135343,251.19540986,145739
-10749008.8515,3289378.7022,0.07224628,0.00245894,0.04958771,287.83887437,145740
-10740103.2912,3008992.6645,0.20249203,0.01664187,0.12900339,13.12284824,145741
-10740103.2912,3018911.1619,0.19866626,0.01611025,0.12692614,15.30637974,145742
-10740103.2912,3028836.4638,0.19602582,0.01562313,0.12499252,19.43525661,145743
-10740103.2912,3038768.5994,0.19416946,0.01521217,0.12333761,24.75009968,145744
-10740103.2912,3048707.5973,0.19359469,0.01471352,0.1212993,29.85338476,145745
-10740103.2912,3058653.4865,0.1946874,0.01409941,0.11874093,31.8556772,145746
-10740103.2912,3068606.2958,0.19560558,0.01350532,0.11621238,26.68468294,145747
-10740103.2912,3078566.0544,0.19527371,0.01323945,0.11506281,18.55188089,145748
-10740103.2912,3088532.7916,0.19376038,0.01326957,0.11519362,11.12107181,145749
-10740103.2912,3098506.5361,0.19147262,0.01324129,0.11507079,5.5483253,145750
-10740103.2912,3108487.3178,0.18941478,0.01300419,0.1140359,3.08373632,145751
-10740103.2912,3118475.1659,0.18754177,0.01266843,0.11255413,3.33932717,145752
-10740103.2912,3128470.11,0.18578245,0.01220307,0.11046749,5.09851137,145753
-10740103.2912,3138472.1796,0.18420276,0.01179079,0.10858539,7.87668795,145754
-10740103.2912,3148481.4044,0.18209788,0.01156534,0.10754225,11.06183278,145755
-10740103.2912,3158497.8142,0.17962869,0.0113951,0.10674782,15.0269473,145756
-10740103.2912,3168521.4389,0.17692019,0.01121324,0.10589257,18.98904636,145757
-10740103.2912,3178552.3085,0.17403992,0.01108703,0.10529499,22.31012531,145758
-10740103.2912,3188590.4531,0.1710041,0.01111943,0.10544869,25.90408636,145759
-10740103.2912,3198635.9028,0.16750339,0.01096535,0.10471556,34.25361241,145760
-10740103.2912,3208688.6878,0.16444832,0.01143561,0.10693742,31.3614479,145761
-10740103.2912,3218748.8384,0.165938,0.01300378,0.11403412,214.7631851,145762
-10740103.2912,3228816.3854,0.16817495,0.0139482,0.11810249,214.22262652,145763
-10740103.2911,3238891.3588,0.1718172,0.01429116,0.11954565,225.29665432,145764
-10740103.2913,3248973.7896,0.17168422,0.01396341,0.11816686,232.70653261,145765
-10740103.2913,3259063.7085,0.16979417,0.01342371,0.11586075,248.55482771,145766
-10740103.2913,3269161.1462,0.15453233,0.01110291,0.10537033,255.14360298,145767
-10740103.2911,3279266.1338,0.11478638,0.00633607,0.07959945,247.84130408,145768
-10740103.2912,3299498.8826,0.01092514,5.248e-05,0.00724441,168.46752021,145769
-10731197.7309,3008992.6644,0.22882317,0.02160233,0.14697731,11.34081471,145770
-10731197.7309,3018911.1618,0.22507241,0.0206107,0.14356427,11.55692302,145771
-10731197.7309,3028836.4638,0.22271144,0.01986657,0.14094882,12.64928476,145772
-10731197.731,3038768.5994,0.22110191,0.01930548,0.13894416,13.89679754,145773
-10731197.7309,3048707.5973,0.22022031,0.01868013,0.13667527,14.62914889,145774
-10731197.7309,3058653.4865,0.21955334,0.01811983,0.13460991,13.65595555,145775
-10731197.7309,3068606.2958,0.21850836,0.01765113,0.13285756,9.51689992,145776
-10731197.7309,3078566.0544,0.21760549,0.01734665,0.13170667,5.21315627,145777
-10731197.7309,3088532.7916,0.21663669,0.01722647,0.13124965,1.69839665,145778
-10731197.7309,3098506.5361,0.2149668,0.01695016,0.13019277,359.48308637,145779
-10731197.7309,3108487.3178,0.21245219,0.01633643,0.12781405,358.86352089,145780
-10731197.7309,3118475.1659,0.20918182,0.01561667,0.12496666,359.86623767,145781
-10731197.7309,3128470.11,0.2053891,0.01480131,0.12166064,1.84626563,145782
-10731197.7309,3138472.1796,0.20096639,0.01391715,0.11797098,4.66268673,145783
-10731197.7309,3148481.4044,0.19596635,0.01307551,0.11434819,7.94358834,145784
-10731197.7309,3158497.8142,0.19091575,0.01245259,0.11159116,11.94060462,145785
-10731197.7309,3168521.439,0.18647628,0.01203844,0.10971982,15.69188835,145786
-10731197.7309,3178552.3086,0.18259248,0.01174543,0.10837635,19.45074423,145787
-10731197.7309,3188590.4531,0.17892383,0.01149749,0.10722636,23.36168109,145788
-10731197.7309,3198635.9029,0.17650996,0.01143492,0.1069342,29.05200879,145789
-10731197.7309,3208688.6878,0.17186576,0.0116098,0.10774876,31.38111681,145790
-10731197.7309,3218748.8385,0.16776802,0.01231218,0.11096026,264.3351275,145791
-10731197.7309,3228816.3853,0.1689651,0.01373319,0.11718868,219.91135576,145792
-10731197.7309,3238891.3589,0.17197192,0.01444349,0.12018109,224.87449395,145793
-10731197.7309,3248973.7896,0.17318985,0.01444738,0.12019725,220.16972624,145794
-10731197.7309,3259063.7084,0.17407762,0.01439276,0.11996984,234.70527239,145795
-10731197.7309,3269161.1463,0.1661119,0.01304013,0.11419339,253.96480028,145796
-10731197.7309,3279266.1338,0.14249098,0.00971132,0.09854601,273.806934,145797
-10731197.7309,3289378.7022,0.08630105,0.00381916,0.06179938,277.81419368,145798
-10731197.7309,3309626.7061,0.01048529,3.767e-05,0.00613783,116.16488459,145799
-10731197.7309,3319762.2041,0.01344449,8.271e-05,0.00909423,249.61700702,145800
-10722292.1708,3008992.6646,0.2556898,0.02775446,0.16659671,9.42685419,145801
-10722292.1708,3018911.1618,0.25156704,0.02630666,0.16219328,7.99179437,145802
-10722292.1708,3028836.4638,0.24891065,0.02496279,0.15799616,7.0399503,145803
-10722292.1708,3038768.5994,0.24684142,0.02391589,0.15464762,6.15615875,145804
-10722292.1708,3048707.5973,0.2454441,0.02313731,0.15210953,5.10418422,145805
-10722292.1708,3058653.4864,0.24470046,0.02275731,0.15085526,3.40386087,145806
-10722292.1708,3068606.2958,0.24372472,0.02261357,0.15037809,0.83064971,145807
-10722292.1708,3078566.0544,0.24190098,0.02239629,0.14965388,358.94204366,145808
-10722292.1708,3088532.7916,0.23930439,0.02192316,0.14806472,357.58953036,145809
-10722292.1708,3098506.5361,0.23628759,0.02112385,0.14534046,356.9609641,145810
-10722292.1708,3108487.3178,0.23292451,0.02003027,0.14152834,357.26317715,145811
-10722292.1708,3118475.166,0.22875758,0.01891331,0.13752568,358.70636094,145812
-10722292.1708,3128470.11,0.22403102,0.01771826,0.13310997,0.89427002,145813
-10722292.1708,3138472.1796,0.21865621,0.01650046,0.1284541,3.52970384,145814
-10722292.1708,3148481.4044,0.21266079,0.01529943,0.12369087,6.56365545,145815
-10722292.1708,3158497.8143,0.20586777,0.01418861,0.11911593,10.12092872,145816
-10722292.1708,3168521.439,0.19877246,0.0132045,0.11491082,13.57170338,145817
-10722292.1708,3178552.3086,0.19232917,0.01267719,0.11259304,17.12681903,145818
-10722292.1708,3188590.4531,0.18665825,0.01215197,0.11023597,20.64557614,145819
-10722292.1709,3198635.9028,0.18222266,0.01159777,0.10769293,24.16165612,145820
